sample	date	country	province	city	latitude	longitude
D1/CO/BID-V3385/2006	2006	Colombia	NA	NA	3.542767999	-72.45329687
D1/CO/BID-V3382/2006	2006	Colombia	NA	NA	3.542767999	-72.45329687
D1/VE/BID-V2467/2007	2007	Venezuela	NA	NA	7.087074177	-65.82764465
D1/VE/BID-V2255/2006	2006	Venezuela	NA	NA	7.087074177	-65.82764465
D1/ARG/HNRG37945/2010-12-29	2010-12-29	Argentina	NA	NA	-35.00341901	-65.70118252
D1/ARG/HNRG14043/2009-04-22	2009-04-22	Argentina	NA	NA	-35.00341901	-65.70118252
D1/VE/BID-V2464/2007	2007	Venezuela	NA	NA	7.087074177	-65.82764465
D1/VE/BID-V2259/2006	2006	Venezuela	NA	NA	7.087074177	-65.82764465
D1/VE/BID-V1135/2007	2007	Venezuela	NA	NA	7.087074177	-65.82764465
D1/ARG/HNRG13708/2009-04-16	2009-04-16	Argentina	NA	NA	-35.00341901	-65.70118252
D1/VE/BID-V3573/2007	2007	Venezuela	NA	NA	7.087074177	-65.82764465
D1/VE/BID-V2468/2008	2008	Venezuela	NA	NA	7.087074177	-65.82764465
D1/VE/BID-V1136/2007	2007	Venezuela	NA	NA	7.087074177	-65.82764465
D1/ARG/HNRG15417/2009-05-28	2009-05-28	Argentina	Buenos aires	Buenos aires	-34.60355902	-58.4176056
D1/ARG/HNRG12447/2009-02-19	2009-02-19	Argentina	Buenos aires	Buenos aires	-34.60355902	-58.4176056
D1/ARG/HNRG12188/2009-02-03	2009-02-03	Argentina	Buenos aires	Buenos aires	-34.60355902	-58.4176056
D1/BR/14985/2010	2010	Brazil	NA	NA	-7.975718867	-55.74292805
D1/ARG/HNRG14635/2009-05-05	2009-05-05	Argentina	NA	NA	-35.00341901	-65.70118252
D1/ARG/HNRG13707/2009-04-16	2009-04-16	Argentina	NA	NA	-35.00341901	-65.70118252
D1/ARG/HNRG13405/2009-04-09	2009-04-09	Argentina	NA	NA	-35.00341901	-65.70118252
D1/Ecu/SantaMaria-Esm/3SM/2019-06-06	2019-06-06	Ecuador	Esmeraldas	Santa María	0.8035	-78.99696
D1/Ecu/48ccEsm-Esm/2019	2019	Ecuador	Esmeraldas	Esmeraldas	0.97082	-79.65249
D1/Ecu/SantaMaria-Esm/51SM/2019-09-23	2019-09-23	Ecuador	Esmeraldas	Santa María	0.8035	-78.99696
D1/Ecu/SantaMaria-Esm/58SM/2019-11-01	2019-11-01	Ecuador	Esmeraldas	Santa María	0.8035	-78.99696
D1/Ecu/SantaMaria-Esm/62SM/2020-01-20	2020-01-20	Ecuador	Esmeraldas	Santa María	0.8035	-78.99696
D1/Ecu/Maldonado-Esm/121M/2019-07-26	2019-07-26	Ecuador	Esmeraldas	Maldonado	1.06665	-78.91571
D1/Ecu/2014ccEsm-Esm/2014	2014	Ecuador	Esmeraldas	Esmeraldas	0.97082	-79.65249
D1/Ecu/SantaMaria-Esm/68SM/2020-01-29	2020-01-29	Ecuador	Esmeraldas	Santa María	0.8035	-78.99696
D1/Brazil/USP-CB-111/2019-05-06	2019-05-06	Brazil	NA	NA	-7.975718867	-55.74292805
D1/Brazil/USP-CB-53/2018-11-18	2018-11-18	Brazil	NA	NA	-7.975718867	-55.74292805
D1/Brazil/USP-CB-54/2018-11-18	2018-11-18	Brazil	NA	NA	-7.975718867	-55.74292805
D1/Ecu/hospital_de_Borbon-Esm/47HB/2021-02-03	2021-02-03	Ecuador	Esmeraldas	Borbon	1.09026	-78.99292
